date,latitude,cloud_type,rh_percent,temperature_c,solar_energy_kwh_m2,predicted_liters_per_day
2025-05-21,43.6532,9.0,65.0,12.0,3.9769833739916853,3.3755176493153236
2025-05-21,43.6532,10.0,65.0,12.0,3.9769833739916853,3.3755176493153236
2025-05-26,43.6532,0.0,65.0,12.0,8.560671329595708,7.056219077665355
2025-05-26,43.6532,1.0,65.0,12.0,8.556997194810704,7.053268747432996
2025-05-26,43.6532,2.0,65.0,12.0,6.002749585131985,5.002207916860985
2025-05-26,43.6532,3.0,65.0,12.0,4.3667033798738215,3.688462814038679
2025-05-26,43.6532,4.0,65.0,12.0,3.6302793796983623,3.097114341897785
2025-05-26,43.6532,5.0,65.0,12.0,3.6302793796983623,3.097114341897785
2025-05-26,43.6532,6.0,65.0,12.0,3.598736052959488,3.071785050526469
2025-05-26,43.6532,7.0,65.0,12.0,4.270849803263822,3.6114923920208493
2025-05-26,43.6532,8.0,65.0,12.0,4.286712483891882,3.624230124565181
2025-05-26,43.6532,9.0,65.0,12.0,4.266098943260877,3.607677451438484
2025-05-26,43.6532,10.0,65.0,12.0,4.266098943260878,3.607677451438485
2025-05-31,43.6532,0.0,65.0,12.0,8.623874282619976,7.106971048943842
2025-05-31,43.6532,1.0,65.0,12.0,8.619408212626519,7.103384794739095
2025-05-31,43.6532,2.0,65.0,12.0,6.079379704409527,5.06374190264085
2025-05-31,43.6532,3.0,65.0,12.0,4.481609623546434,3.7807325277077863
2025-05-31,43.6532,4.0,65.0,12.0,3.679060693683961,3.136285737028221
